Clima y Cultura,Gestión del Talento,Aprendizaje y Desarrollo,La compañía nos prepara para enfrentar los nuevos retos.
Clima y Cultura,Gestión del Talento,Aprendizaje y Desarrollo,Pienso que Se implementa de manera correcta el sistema de seguridad y salud en el trabajo.
Clima y Cultura,Gestión del Talento,Aprendizaje y Desarrollo,Pienso que el comité convivencia laboral opera de manera correcta en la compañía.
Clima y Cultura,Gestión del Talento,Aprendizaje y Desarrollo,Pienso que el COPASST se implementa de manera adecuada en la compañía.
Clima y Cultura,Gestión del Talento,Reconocimiento,En la organización se hacen reconocimientos y/o estímulos no economicos  para incentivar el trabajo bien hecho.
Clima y Cultura,Gestión del Talento,Retroalimentación y Seguimiento,Conozco los criterios y/o indicadores para evaluar mi trabajo y mis resultados.
Clima y Cultura,Gestión del Talento,Retroalimentación y Seguimiento,Recibo retroalimentación oportuna con respecto a mi desempeño.
Clima y Cultura,Liderazgo Organizacional,Liderazgo Organizacional,El Equipo Directivo de la organización tiene una VISION clara   hacia donde queremos llegar.
Clima y Cultura,Liderazgo Organizacional,Liderazgo Organizacional,Los Directivos de la organización muestran un comportamiento ético consistente con los valores de la organización.
Clima y Cultura,Liderazgo Organizacional,Liderazgo Organizacional,La relación que existe entre los colaboradores y los Directivos de la organización es cordial y cooperativa.
Clima y Cultura,Liderazgo Organizacional,Liderazgo Organizacional,Los Líderes  tratan a los colaboradores como el bien más valioso de la organización.
Clima y Cultura,Liderazgo Organizacional,Liderazgo Organizacional,Podría decir que los Líderes en esta organización son un modelo a seguir.
Clima y Cultura,RSE,Clientes,Mi Compañía implementa acciones que demuestran su preocupación y cuidado por el interés de sus usuarios y/o clientes.
Clima y Cultura,RSE,Derechos Humanos,Mi compañía  vela por que tanto hombres como mujeres tengamos los mismos derechos y deberes.
Clima y Cultura,RSE,Derechos Humanos,"Mi compañía  es una organización con buena gestión de la diversidad, donde convivimos de manera armónica diferentes razas, culturas, edades, etc."
Clima y Cultura,RSE,Medio Ambiente,"Mi Compañía implementa, a nivel externo, programas para reducir o minimizar la contaminación directa e indirecta que tiene sobre el medio ambiente."
Clima y Cultura,RSE,Medio Ambiente,"Mi compañía implementa a nivel interno acciones para el manejo y reducción de energía, agua y residuos (reciclaje)."
Clima y Cultura,RSE,Rendición de Cuentas,"Mi Compañía posee mecanismos de comunicación hacia adentro y hacia fuera de la organización, para mostrar los resultados financieros, económicos y sociales de su operación."
Clima y Cultura,RSE,Sociedad,Mi compañía  impulsa acciones sociales enfocadas a mejorar nuestra sociedad y me permite participar de manera voluntaria en estas iniciativas de responsabilidad social empresarial.
Clima y Cultura,Satisfacción,Ambiente Estimulante,El Ambiente que se vive en la organización es el adecuado para hacer mi trabajo.
Clima y Cultura,Satisfacción,Balance Vida Personal y Laboral,"El balance entre mi trabajo y mi vida personal, es el adecuado para mi calidad de vida."
Clima y Cultura,Satisfacción,Bienestar,El plan de BIENESTAR esta estructurado deacuerdo a las necesidades de los Colaboradores que pertenecen a la Compañía..
Clima y Cultura,Satisfacción,Bienestar,"En la organización contamos con los medios que facilitan el acceso a planes y programas de salud, bienestar, recreación y deporte."
Clima y Cultura,Satisfacción,Bienestar,la organización se interesa por incentivar mi participación en actividades Culturales
Clima y Cultura,Satisfacción,Posicionamiento y Orgullo,42 Estoy orgulloso(a) de contarles a otras personas que  trabajo aquí.
Clima y Cultura,Satisfacción,Posicionamiento y Orgullo,Considero que la organización es una excelente empresa para trabajar.
Clima y Cultura,Satisfacción,Posicionamiento y Orgullo,Considero que la organización es una entidad LIDER en el negocio.
Clima y Cultura,Satisfacción,Satisfacción con el cargo,Estoy satisfecho con el cargo que desempeño en la empresa.
Clima y Cultura,Satisfacción,Satisfacción con el cargo,El trabajo que desempeño me permite desarrollarme como persona.
Clima y Cultura,Satisfacción ,Ambiente Estimulante,"Las condiciones físicas en mi puesto de trabajo (limpieza, iluminación, espacio, seguridad, ventilación, etc.) me permiten desempeñarme con tranquilidad y concentración."
Clima y Cultura,Satisfacción ,Bienestar,En la organización se realizan actividades de Seguridad  y Salud en el Trabajo.
Clima y Cultura,Satisfacción ,Bienestar,En la organización se realizan actividades que contribuyen al bienestar de mi familia.
Clima y Cultura,Satisfacción ,Bienestar,La organización realiza programas  que contribuyen al bienestar y mejoramiento de mi calidad de vida.
Clima y Cultura,Satisfacción ,Bienestar,"Indique su grado de satisfacción con respecto a la actividad ""Día de  la madre"""
Clima y Cultura,Satisfacción ,Bienestar,"Indique su grado de satisfacción con respecto a la actividad ""Día del padre"""
Clima y Cultura,Satisfacción ,Bienestar,"Indique su grado de satisfacción con respecto a la actividad  ""Amor y Amistad""  Photocabine, Teleton Dulcera y Ayuda a un Amigo"
Clima y Cultura,Satisfacción ,Bienestar,"Indique su grado de satisfacción con respecto a la actividad ""Hallowen"""
Clima y Cultura,Valores,Valores,En la organización asumimos y cumplimos los compromisos que adquirimos.
Clima y Cultura,Valores,Valores,En la organización estamos comprometidos con el medio ambiente.
Clima y Cultura,Valores,Valores,"La organización es transparente en sus actuaciones, generando seguridad y confianza en sus clientes y empleados."
Clima y Cultura,Valores ,Valores ,Los miembros de la organización se comportan de forma transparente consistente con nuestros principios y Valores.
Liderazgo,Crear contexto,Direccionamiento,"Mi jefe inmediato asigna el trabajo, dando claridad sobre el resultado que espera."
Liderazgo,Crear Contexto,Direccionamiento,Siento que mi Jefe nos direcciona de manera adecuada.
Liderazgo,Crear contexto,Inspirar,16 Mi jefe crea un ambiente que inspira confianza.
Liderazgo,Crear Contexto,Inspirar,La forma en como mi jefe plantea los retos y objetivos nos inspira y reta a conseguirlos.
Liderazgo,Crear Contexto,Inspirar,Mi Jefe es un modelo a seguir.
Liderazgo,Operar Contexto,Apoyo y Acompañamiento,"Cuando tengo dificultades en mi trabajo, encuentro en mi jefe un apoyo para realizar mis actividades."
Liderazgo,Operar Contexto,Apoyo y Acompañamiento,"Cuando hay trabajo duro, mi Jefe trabaja con nosotros en el logro de los resultados."
Liderazgo,Operar Contexto,Roles,Mi Jefe asigna el trabajo de acuerdo a los roles y capacidades de los miembros del equipo.
Liderazgo,Operar Contexto,Roles,Mi Jefe utiliza las capacidades de los miembros del equipo de forma que saca el mayor potencial del mismo.
Liderazgo,Operar Contexto,Seguimiento,Mi Jefe hace seguimiento adecuado a la forma en como estamos haciendo el trabajo.
Liderazgo,Operar Contexto,Seguimiento,Mi Jefe tiene claridad de los indicadores de gestión del área y el equipo.
Liderazgo,Sostener contexto,Desarrollo,"Mi jefe  genera acciones que incentivan mi formación, capacitación y desarrollo profesional."
Liderazgo,Sostener contexto,Motivación y reconocimiento,"Mi jefe, me apoya y reconoce por el trabajo bien hecho."
Liderazgo,Sostener contexto,Retroalimentar,"Mi jefe  brinda retroalimentación efectiva y oportuna, de la forma como realizo mi trabajo."
Liderazgo,Sostener contexto,Desarrollo,Mi Jefe aprovecha las situaciones del día a día para apoyar mi desarrollo y crecimiento.
Microclima (En mi Área),Comunicación y Relaciones,Comunicación,"En nuestro equipo, nos comunicamos de forma clara y honesta."
Microclima (En mi Área),Comunicación y Relaciones,Comunicación,La información clave para hacer nuestro trabajo es difundida de manera oportuna en el equipo.
Microclima (En mi Área),Comunicación y Relaciones,Relaciones,Pienso que existe una relación de compañerismo y apoyo en mi grupo de trabajo.
Microclima (En mi Área),Comunicación y Relaciones,Relaciones,Las relaciones al interior de mi área son de cooperación.
Microclima (En mi Área),Planeación y Objetivos,Planeación y Objetivos,En mi área de trabajo las reuniones son efectivas.
Microclima (En mi Área),Planeación y Objetivos,Planeación y Objetivos,Mi área se adapta con facilidad a las nuevas estrategias de la organización.
Microclima (En mi Área),Planeación y Objetivos,Planeación y Objetivos,Tengo clara la contribución de mi área al cumplimiento de las metas de la organización.
Microclima (En mi Área),Planeación y Objetivos,Planeación y Objetivos,Pienso que en mi área se ejecuta lo planeado.
Microclima (En mi Área),Roles,Roles,En mi equipo todos tenemos claras nuestras responsabilidades.
Microclima (En mi Área),Roles,Roles,Mi Rol agrega valor al logro de los objetivos del equipo.
Microclima (En mi Área),Toma de decisiones,Toma de decisiones,Puedo sugerir alternativas y aportar a la toma de decisiones para solucionar los problemas que se presenten.
Microclima (En mi Área),Toma de decisiones,Toma de decisiones,En nuestro equipo podemos tomar decisiones acerca de la forma en como hacer nuestro trabajo.
